irregular_name,regular_name
absolute cd3+cd4+,absolute cd3/cd4
nk cell%,nk cell
nk cells,nk cell
hemoglobin a1c ha1c,glyco hemoglobin
absolute cd3+cd8+,absolute cd3/cd8
b cell%,b cell
b cells,b cell
urine uric acid 24 hour,urine uric acid
hematocrit hct,hematocrit
cd3+cd8+%,cd3/cd8
raw urine creatinin,raw urine creatinine
mycophenolic acic and 7-o-glucuronide,mycophenolic acid 7-o-glucuronide
absolute blasts,absolute blast
absolute monocytes,absolute monocyte
absolute plasma cells,absolute plasma cell
alk. phos.,alkaline phosphatase
alpha fetoprotein tumor marker,alpha fetoprotein tumor
antithrombin iii level,antithrombin iii
arterial bicarbonate a3hco3,arterial bicarbonate
arterial total hb,arterial total hemoglobin
b-natriuretic peptide (bnp),b-natriuretic peptide/bnp
basophils,basophil
beta 2-microglobulin,beta 2 microglobulin
blasts,blast
bun,blood urea nitrogen
c-reactive protein hisens,c-reactive protein
cd3+ cd4+%,cd3+cd4+%
cd3+ cd8+%,cd3+cd8+%
ck (cpk),ck(cpk)
creatinine bld (point of care),creatinine blood (point of care)
csf wbcs,csf wbc
eosinophils,eosinophil
glucose 1hr ob screen 50g,glucose 1 hour ob screen 50g
glucose 2 hour level gtt2,glucose 2 hour level
lipase level,lipase
lym#,lymph#
lym%,lymph%
lymphocytes,lymphocyte
microalbumin/cr ratio mard,microalbumin/creat ratio
monocytes,monocyte
nucleated rbc's,nucleated rbc
nucleated rbc s,nucleated rbc
phosphorus,phosphorous
rbc folate,rbc
retic count,reticulocyte count
transferrin saturation (ibci,transferrin saturation (ibci)
triglycerides,triglyceride
triiodothyronine (t3) free,triiodothyronine (t3)
urine protein (random),urine protein random
urine rbc's,urine rbcs
urine total protein quantitative,urine total protein
urine wbc's,urine wbcs
urobilinogen,urine urobilinogen
vancomycin level,vancomycin
venous % hbo2,venous %hbo2
vitamin d25-hydroxy,vitamin d 25 hydroxy
glucose level,glucose
r native bld,r native blood
serum hcg quant,serum hcg quantitative
testosterone level,testosterone
k native bld w protm sulf,k native bld w protamine sulfate
ma native bld w prot sulf,ma native bld w protamine sulfate
r native bld w protm sulf,r native bld w protamine sulfate
alpha-1 antitrypsin,alpha 1 antitrypsin
ant-dna antibody,anti-dna antibody
arterial %hbco,arterial % hbco
lipoprotein (a),lipoprotein a
nrbc m,nrbcm
transferrin saturation (icp),transferrin saturation
urine alpha i,urine alpha 1
wb inr(poct),wb inr (poct)
agaps,agap
calcium ionized,calcium
glucose 2 hour level,glucose 2 hr
help/supp ratio,helper/suppressor ratio
k/l ratio,kappa/lambda ratio
mycophenolic acid and 7-o-glucuronide,mycophenolic acid 7-o-glucuronide
thyroglobulin sendo,thyroglobulin
whole blood ionized calcium c,whole blood ionized calcium
activated clotting time (act),activated clotting time
adrenocorticotropic hormn se,adrenocorticotropic hormone
alpha 1 antitripsin sendo,alpha 1 antitrypsin
angiotensin i convert enz se,angiotensin i converting enzyme
arterial %hbmet,arterial % hbmet
arterial %hbo2,arterial % hbo2
arterial base ex/def a4be,arterial base ex/def
bk virus quant vl bld <,bk virus quant viral load blood
bk virus quant vl urine <,bk virus quant viral load urine
ca19-9 s,ca19-9
carbamazepine level,carbamazepine
cortisol lvl,cortisol
creatinine clr,creatinine clearance
csf rbcs,csf rbc
cyclosporine (abbott cmia),cyclosporine
cyclosporine abbott cmia,cyclosporine
d-dimer quant,d-dimer
"egfr(african american,est) crpoc","egfr(african american,est)"
"egfr(non-african amer,est) crpoc","egfr(non-african amer,est)"
fio2%,fio2 %
fio2.,fio2
fluid rbcs,fluid rbc
glucose 1 hr,glucose 1 hour
glucose 1 hour level,glucose 1 hour
glucose 2 hour level,glucose 2 hour
glucose 2 hr,glucose 2 hour
glucose 30 min level,glucose 30 min
glucose fasting level,glucose fasting
hdl,hdl cholesterol
hrs. of collection,hours of collection
intact parathyroid hormone level,intact parathyroid hormone
ionized calcium,calcium
k native bld,k native blood
lymphs,lymphocyte
ma native bld,ma native blood
magnesium rbc,magnesium
microalbumin urine (mard),microalbumin urine
nucleated rbcs,nucleated rbc
plasma cells,plasma cell
prostate specific antigen diag,prostate specific antigen
prostate specific ag diag,prostate specific antigen
somatomedin c sen,somatomedin c
specimen #,specimen id
tacrolimus (fk506),tacrolimus
tacrolimus level,tacrolimus
transferrin saturation (ibci),transferrin saturation
urine spec gravity,urine specific gravity
urine urea nitro (random),urine urea nitrogen random
venous %hbco,venous % hbco
venous %hbo2,venous % hbo2
venous base ex/def v4be,venous base ex/def
venous bicarbonate v3hco3,venous bicarbonate
venous total hb,venous total hemoglobin
venous total hemoglobin v6thb,venous total hemoglobin
wbc,white cell count
ca125,cancer antigen 125
glucose 2 hour level,glucose 2 hour
rbc,red cell count
transferrin saturation (ibci),transferrin saturation
hgb,hemoglobin

