irregular_name,regular_name
cardiac cath-witt report (nursing),cardiac cath-witt report
chest pa/lateral,chest pa
chest pa/lat dt,chest pa
ct abdomen/pelvis w contrast,ct abdomen w contrast
ct abdomen/pelvis wo contrast,ct abdomen wo contrast
ct abdomen/pelvis wwo contrast,ct abdomen wwo contrast
ct angio thoracic aorta w/ecg leads,ct angio thoracic aorta w/ ecg leads
ct angiography abdomen/pelvis,ct angiography abdomen
ct cardiac calcium score only,ct cardiac calcium score
holter monitor 24 hr,holter monitor 24 hour
uppr gi endoscopy diagnosis,upper gi endoscopy
xr chest ap (portable),xr chest ap
xr chest ap portable,xr chest ap
us breast,ultrasound breast
xr ankle right series (3 view),xr ankle series right (3 view)
